               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11032,             0.03998,            0.041639,              0.4647,             0.23249,             0.20536,            0.041356,            0.074397,            0.024944,            0.027081,              0.0829,              0.0019,              0.0019
                   1,            0.075685,            0.042036,            0.023237,             0.82847,             0.30952,             0.33377,              0.1344,            0.060123,            0.020981,             0.01295,            0.064896,           0.0038961,           0.0038961
                   2,            0.068903,            0.031308,            0.014389,             0.26195,             0.68889,             0.41063,             0.18733,            0.050077,            0.017813,           0.0070534,            0.046888,           0.0058883,           0.0058883
                   3,            0.064288,            0.028773,            0.009891,             0.50899,             0.68889,             0.70644,             0.28325,             0.05444,            0.016559,           0.0039795,            0.028877,           0.0078765,           0.0078765
                   4,            0.059533,            0.026035,           0.0074168,             0.59337,               0.707,             0.64602,             0.25158,            0.046464,            0.015193,           0.0026098,            0.010861,           0.0098608,           0.0098608
                   5,            0.054948,            0.024049,            0.005807,             0.76463,             0.73852,             0.74691,             0.33711,            0.043527,            0.016993,           0.0031062,           0.0099505,           0.0099505,           0.0099505
                   6,             0.04943,            0.023915,           0.0048009,             0.71915,             0.90556,              0.7814,             0.39808,            0.038274,            0.014308,           0.0022963,           0.0099505,           0.0099505,           0.0099505
                   7,            0.045976,            0.024277,           0.0039197,             0.94512,             0.77222,             0.78297,             0.39067,            0.037135,            0.015923,           0.0026317,           0.0099406,           0.0099406,           0.0099406
                   8,            0.044343,            0.023029,           0.0033176,             0.74754,             0.82222,             0.80619,             0.41144,            0.034256,            0.013516,           0.0020899,           0.0099307,           0.0099307,           0.0099307
                   9,            0.043205,            0.022726,           0.0031682,             0.94971,             0.95567,             0.95601,              0.5023,            0.032323,            0.012511,           0.0014016,           0.0099208,           0.0099208,           0.0099208
                  10,             0.04181,            0.022682,           0.0029454,              0.8434,             0.86667,             0.88492,             0.53079,            0.032356,            0.011884,           0.0023417,           0.0099109,           0.0099109,           0.0099109
                  11,            0.040997,            0.022618,           0.0026333,               0.918,             0.75732,              0.8889,             0.47321,            0.028554,            0.013738,           0.0036125,            0.009901,            0.009901,            0.009901
                  12,             0.04006,            0.021973,           0.0025384,             0.94803,             0.93757,             0.96204,              0.5345,            0.030609,            0.011673,            0.001707,           0.0098911,           0.0098911,           0.0098911
                  13,            0.039494,            0.021179,            0.002388,             0.95024,             0.94444,             0.93507,             0.51272,            0.028139,             0.01112,            0.001672,           0.0098812,           0.0098812,           0.0098812
                  14,            0.038023,             0.02153,           0.0021968,             0.91219,             0.87778,              0.9167,             0.51034,            0.030171,            0.010934,           0.0013535,           0.0098713,           0.0098713,           0.0098713
                  15,            0.037864,             0.02153,           0.0019706,             0.93563,             0.95516,             0.95772,             0.53336,            0.028486,            0.010975,           0.0016446,           0.0098614,           0.0098614,           0.0098614
                  16,            0.037426,            0.020945,           0.0023332,             0.98016,             0.96534,             0.98225,             0.52946,            0.028763,            0.011685,           0.0013679,           0.0098515,           0.0098515,           0.0098515
                  17,            0.037549,            0.021657,           0.0020563,             0.97118,             0.99304,               0.995,             0.56155,            0.029814,              0.0104,           0.0015502,           0.0098416,           0.0098416,           0.0098416
                  18,            0.036898,            0.021147,           0.0017983,             0.97865,             0.99629,               0.995,             0.50415,            0.030427,            0.011643,           0.0017353,           0.0098317,           0.0098317,           0.0098317
                  19,            0.036315,             0.02103,           0.0020349,               0.935,             0.94102,             0.97908,             0.54694,            0.028268,            0.011256,           0.0015975,           0.0098218,           0.0098218,           0.0098218
                  20,            0.035979,            0.021039,           0.0017279,             0.91122,             0.90939,             0.91976,             0.54901,            0.029828,            0.010827,          0.00090714,           0.0098119,           0.0098119,           0.0098119
                  21,              0.0359,            0.020702,           0.0017492,             0.95858,             0.96818,             0.95944,              0.5493,            0.028249,            0.010976,           0.0010538,            0.009802,            0.009802,            0.009802
                  22,               0.036,            0.020745,           0.0018194,             0.88632,             0.90159,             0.87469,             0.52202,            0.029721,            0.010897,           0.0010875,           0.0097921,           0.0097921,           0.0097921
                  23,            0.035699,            0.020993,           0.0017519,             0.93473,             0.88696,             0.96234,             0.54466,            0.027977,            0.010657,           0.0012633,           0.0097822,           0.0097822,           0.0097822
                  24,            0.035379,            0.020737,           0.0016587,             0.96695,                   1,               0.995,             0.53412,            0.027985,            0.011095,          0.00087767,           0.0097723,           0.0097723,           0.0097723
                  25,            0.035801,            0.020802,           0.0016083,             0.94271,             0.97163,             0.95382,             0.57029,            0.027006,            0.010768,          0.00092239,           0.0097624,           0.0097624,           0.0097624
                  26,            0.035154,            0.020347,           0.0015949,             0.95837,             0.97027,             0.95417,             0.56427,            0.028518,            0.011314,           0.0013193,           0.0097525,           0.0097525,           0.0097525
                  27,            0.035316,            0.020928,           0.0015729,             0.86369,             0.90556,             0.91309,             0.57443,            0.027877,            0.010745,           0.0014541,           0.0097426,           0.0097426,           0.0097426
                  28,            0.034566,            0.020711,           0.0014397,             0.93558,             0.99215,               0.995,             0.57292,            0.026014,            0.010768,          0.00092592,           0.0097327,           0.0097327,           0.0097327
                  29,            0.034361,            0.020504,           0.0014045,             0.91244,             0.93333,             0.91759,             0.55335,            0.027577,            0.010627,          0.00094318,           0.0097228,           0.0097228,           0.0097228
                  30,            0.034003,            0.020835,           0.0015354,             0.95154,             0.97222,             0.97393,             0.57806,            0.027175,            0.010755,           0.0013979,           0.0097129,           0.0097129,           0.0097129
                  31,            0.034945,            0.019893,           0.0014523,                0.88,             0.90109,             0.90319,             0.54767,            0.028043,            0.010528,           0.0011722,            0.009703,            0.009703,            0.009703
                  32,            0.034656,             0.02046,           0.0014955,             0.98567,             0.91045,             0.94685,             0.56312,            0.027239,            0.011093,           0.0012705,           0.0096931,           0.0096931,           0.0096931
                  33,            0.034678,            0.020213,           0.0015095,             0.95915,                   1,               0.995,             0.60181,            0.025036,            0.010093,          0.00075459,           0.0096832,           0.0096832,           0.0096832
                  34,            0.033313,            0.020324,           0.0014977,             0.97907,             0.93333,             0.97595,             0.57942,            0.028389,           0.0099525,            0.001373,           0.0096733,           0.0096733,           0.0096733
                  35,            0.033401,            0.020537,           0.0013912,             0.91787,             0.93333,              0.9175,             0.52655,            0.028391,            0.010796,          0.00072017,           0.0096634,           0.0096634,           0.0096634
                  36,            0.033594,            0.020413,           0.0014569,             0.94361,             0.93832,             0.94707,             0.56181,            0.027646,            0.010983,          0.00096107,           0.0096535,           0.0096535,           0.0096535
                  37,            0.034535,            0.020238,           0.0014387,             0.91196,             0.89949,             0.95755,              0.5129,            0.027429,            0.010388,           0.0010247,           0.0096436,           0.0096436,           0.0096436
                  38,            0.033371,             0.01999,           0.0013882,             0.97875,             0.98591,               0.995,             0.55762,             0.02628,            0.010442,          0.00098684,           0.0096337,           0.0096337,           0.0096337
                  39,            0.033405,            0.020134,           0.0014165,             0.94925,             0.96778,             0.96831,             0.56134,            0.026966,            0.010403,           0.0014473,           0.0096238,           0.0096238,           0.0096238
                  40,            0.032855,            0.020176,           0.0012905,             0.90263,             0.92739,             0.91878,                0.61,            0.026118,            0.010215,          0.00061922,           0.0096139,           0.0096139,           0.0096139
                  41,            0.032874,            0.020186,           0.0012408,             0.88998,              0.9006,             0.86538,             0.53326,            0.026531,            0.011066,          0.00069795,            0.009604,            0.009604,            0.009604
                  42,            0.033143,            0.019786,            0.001365,             0.96505,                   1,               0.995,             0.58266,            0.026397,            0.010574,          0.00076466,           0.0095941,           0.0095941,           0.0095941
                  43,            0.033255,            0.019488,           0.0014128,             0.88405,             0.90556,             0.88496,             0.55959,            0.026565,            0.010821,          0.00072608,           0.0095842,           0.0095842,           0.0095842
                  44,            0.033046,            0.020048,           0.0014145,             0.91657,             0.93333,             0.91878,             0.56484,            0.025652,            0.010103,           0.0007061,           0.0095743,           0.0095743,           0.0095743
                  45,            0.033576,            0.020358,           0.0013553,             0.97598,             0.99318,               0.995,             0.57656,             0.02647,            0.010316,          0.00067563,           0.0095644,           0.0095644,           0.0095644
                  46,            0.032941,            0.018986,              0.0015,             0.90571,             0.97222,             0.98184,              0.5728,            0.027321,            0.010657,           0.0011242,           0.0095545,           0.0095545,           0.0095545
                  47,            0.033133,             0.02037,           0.0012059,             0.98627,                   1,               0.995,             0.59318,            0.026059,            0.010156,          0.00072317,           0.0095446,           0.0095446,           0.0095446
                  48,            0.032641,            0.019561,           0.0011996,             0.98311,             0.99683,               0.995,             0.58958,            0.026277,            0.010671,          0.00076053,           0.0095347,           0.0095347,           0.0095347
